Record;[0]\[3];[3]\[0]
33703747;DLC2ApocTenticlePatchFar [STAT:04024743];DLC02\Dungeons\Apocrypha\Clutter\DLC2ApocTenticlePatchFar.nif
33703750;DLC2ApocEnvTenticle01far [STAT:04024746];DLC02\Dungeons\Apocrypha\Clutter\DLC2ApocEnvTenticle01.nif
33704010;DLC2GlacierTrim02_NoSN [STAT:0402484A];DLC02\Landscape\Glaciers\DLC2GlacierTrim02.nif
33704011;DLC2GlacierTrim01_NoSN [STAT:0402484B];DLC02\Landscape\Glaciers\DLC2GlacierTrim01.nif
33704106;DLC2GlacierEndLg01_Ice [STAT:040248AA];DLC02\Landscape\Glaciers\DLC2GlacierEndLg01.nif
33704107;DLC2GlacierPillarLg01_Ice [STAT:040248AB];DLC02\Landscape\Glaciers\DLC2GlacierPillarLg01.nif
33704108;DLC2GlacierCaveEntrance02_Ice [STAT:040248AC];DLC02\Landscape\Glaciers\DLC2GlacierCaveEntrance02.nif
33705134;ApoTempleTowerTop01 [STAT:04024CAE];DLC02\Dungeons\Apocrypha\Exterior\ApoTempleTowerTop01.nif
33705500;DLC2CaveIBoulderM03_noSnow [STAT:04024E1C];Dungeons\Caves\Ice\Rocks\CaveIBoulderM03.nif
33705502;DLC2CaveIBoulderM01_noSnow [STAT:04024E1E];Dungeons\Caves\Ice\Rocks\CaveIBoulderM01.nif
33705711;DLC2CaveIRoomDoorB01ice [STAT:04024EEF];Dungeons\Caves\Ice\SmallRoom\CaveIRoomDoorB01.nif
33705712;DLC2NorPitWallSide01ice [STAT:04024EF0];Dungeons\Nordic\Pits\NorPitWallSide01.nif
33705713;DLC2NorPitWallSideToRmBgSideL01ice [STAT:04024EF1];Dungeons\Nordic\Pits\NorPitWallSideToRmBgSideL01.nif
33705714;DLC2NorPitWallSideToRmBgFrontL01ice [STAT:04024EF2];Dungeons\Nordic\Pits\NorPitWallSideToRmBgFrontL01.nif
33705948;DLC2BasaltSlab01 [STAT:04024FDC];DLC02\Landscape\VolcanicCliffs\DLC2BasaltSlab01.nif
33705950;DLC2BasaltSlab01_Ash [STAT:04024FDE];DLC02\Landscape\VolcanicCliffs\DLC2BasaltSlab01.nif
33706144;DLC2RockCliff02_Ash [STAT:040250A0];Landscape\Rocks\RockCliff02.nif
33706145;DLC2RockCliff03_Ash [STAT:040250A1];Landscape\Rocks\RockCliff03.nif
33706146;DLC2RockCliff04_Ash [STAT:040250A2];Landscape\Rocks\RockCliff04.nif
33706147;DLC2RockCliff01VolcanicAsh01 [STAT:040250A3];Landscape\Rocks\RockCliff01.nif
33708157;DLC2TreePineForestCutLog01Asnow [STAT:0402587D];Landscape\Trees\TreePineForestCutLog01A.nif
33708598;HighPolyDLC02BlackBook [STAT:04025A36];Clutter\Books\Book02\DLC2BlackBook01.nif
33708798;TelvanniGourdHouse01 [STAT:04025AFE];DLC02\Architecture\TelvanniTower\TelvanniGourdHouse01.nif
33708799;TelvanniGourdHouse02 [STAT:04025AFF];DLC02\Architecture\TelvanniTower\TelvanniGourdHouse02.nif
33708800;TelvanniRoot01 [STAT:04025B00];DLC02\Architecture\TelvanniTower\TelvanniRoot01.nif
33708801;TelvanniRoot02 [STAT:04025B01];DLC02\Architecture\TelvanniTower\TelvanniRoot02.nif
33708802;TelvanniRootBridge01 [STAT:04025B02];DLC02\Architecture\TelvanniTower\TelvanniRootBridge01.nif
33708803;TelvanniTowerInt01 [STAT:04025B03];DLC02\Architecture\TelvanniTower\TelvanniTowerInt01.nif
33708804;TelvanniTowerMain01 [STAT:04025B04];DLC02\Architecture\TelvanniTower\TelvanniTowerMain01.nif
33709662;DLC2RieklingBridgePlatform01Ice [STAT:04025E5E];DLC02\Architecture\Riekling\DLC2RieklingBridgePlatform01.nif
33709685;DLC2RieklingBridge01Ice [STAT:04025E75];DLC02\Architecture\Riekling\DLC2RieklingBridge01.nif
33711299;DLC2DweReadRmBase01 [STAT:040264C3];DLC02\Dungeons\Dwemer\ReadingRoom\DLC2DweReadRmBase01.nif
33711300;DLC2DweReadRmBase02 [STAT:040264C4];DLC02\Dungeons\Dwemer\ReadingRoom\DLC2DweReadRmBase02.nif
33711342;DLC2DweReadRmBannerBar01 [STAT:040264EE];DLC02\Dungeons\Dwemer\ReadingRoom\DLC2DweReadRmBannerBar01.nif
33711343;DLC2DweReadRmColmUp01 [STAT:040264EF];DLC02\Dungeons\Dwemer\ReadingRoom\DLC2DweReadRmColmUp01.nif
33711344;DLC2DweReadRmDecoMid01 [STAT:040264F0];DLC02\Dungeons\Dwemer\ReadingRoom\DLC2DweReadRmDecoMid01.nif
33711345;DLC2DweReadRmEXT01 [STAT:040264F1];DLC02\Dungeons\Dwemer\ReadingRoom\DLC2DweReadRmEXT01.nif
33711346;DLC2DweReadRmEXTDome01 [STAT:040264F2];DLC02\Dungeons\Dwemer\ReadingRoom\DLC2DweReadRmEXTDome01.nif
33711347;DLC2DweReadRmEXTPlatformLg01 [STAT:040264F3];DLC02\Dungeons\Dwemer\ReadingRoom\DLC2DweReadRmEXTPlatformLg01.nif
33711348;DLC2DweReadRmEXTPlatformSmL01 [STAT:040264F4];DLC02\Dungeons\Dwemer\ReadingRoom\DLC2DweReadRmEXTPlatformSmL01.nif
33711349;DLC2DweReadRmEXTPlatformSmR01 [STAT:040264F5];DLC02\Dungeons\Dwemer\ReadingRoom\DLC2DweReadRmEXTPlatformSmR01.nif
33711350;DLC2DweReadRmEXTShaftRm01 [STAT:040264F6];DLC02\Dungeons\Dwemer\ReadingRoom\DLC2DweReadRmEXTShaftRm01.nif
33711351;DLC2DweReadRmFirepot01 [STAT:040264F7];DLC02\Dungeons\Dwemer\ReadingRoom\DLC2DweReadRmFirepot01.nif
33711352;DLC2DweReadRmINT01 [STAT:040264F8];DLC02\Dungeons\Dwemer\ReadingRoom\DLC2DweReadRmINT01.nif
33711353;DLC2DweReadRmINTDome01 [STAT:040264F9];DLC02\Dungeons\Dwemer\ReadingRoom\DLC2DweReadRmINTDome01.nif
33711354;DLC2DweReadRmPedBrazier01 [STAT:040264FA];DLC02\Dungeons\Dwemer\ReadingRoom\DLC2DweReadRmPedBrazier01.nif
33711355;DLC2DweStatueBustSphere01 [STAT:040264FB];DLC02\Dungeons\Dwemer\Clutter\DLC2DweStatueBustSphere01.nif
33711356;DLC2DweStatueBustSphere02 [STAT:040264FC];DLC02\Dungeons\Dwemer\Clutter\DLC2DweStatueBustSphere02.nif
33711357;DLC2DweStatueBustCenturion01 [STAT:040264FD];DLC02\Dungeons\Dwemer\Clutter\DLC2DweStatueBustCenturion01.nif
33711358;DLC2DweClutterPlatformSm01 [STAT:040264FE];DLC02\Dungeons\Dwemer\Clutter\DLC2DweClutterPlatformSm01.nif
33711359;DLC2DweClutterPlatformGiant01 [STAT:040264FF];DLC02\Dungeons\Dwemer\Clutter\DLC2DweClutterPlatformGiant01.nif
33711404;DLC2DweClutterBrazierPed02 [STAT:0402652C];DLC02\Dungeons\Dwemer\Clutter\DLC2DweClutterBrazierPed02.nif
33711405;DLC2DweClutterFirepot01 [STAT:0402652D];DLC02\Dungeons\Dwemer\Clutter\DLC2DweClutterFirepot01.nif
33711406;DLC2DweClutterBannerBar01 [STAT:0402652E];DLC02\Dungeons\Dwemer\Clutter\DLC2DweClutterBannerBar01.nif
33711679;DLC2KarstaagSkullWall [STAT:0402663F];DLC02\Clutter\karstaagskullicewall.nif
33711685;ApoExtTowerBaseDias02 [STAT:04026645];DLC02\Dungeons\Apocrypha\Animated\TowerDias\ApoExtTowerBaseDias02.nif
33712837;DLC2ThirskMeadHallExterior010000 [STAT:04026AC5];DLC02\Architecture\Thirsk\MeadHall\DLC2ThirskMeadHallExterior01.nif
33712838;Thirsk [STAT:04026AC6];DLC02\Architecture\Thirsk
33712857;DLC2DweShaftStandaloneRm01 [STAT:04026AD9];DLC02\Dungeons\Dwemer\Clutter\DLC2DweShaftStandaloneRm01.nif
33713275;DLC2ThirskMeadHallInterior010000 [STAT:04026C7B];DLC02\Architecture\Thirsk\MeadHall\DLC2ThirskMeadHallInterior01.nif
33713303;ApoLectern01 [STAT:04026C97];DLC02\Dungeons\Apocrypha\Clutter\ApoLectern01.nif
33713304;ApoStand01 [STAT:04026C98];DLC02\Dungeons\Apocrypha\Clutter\ApoStand01.nif
33713896;DLC2NorDoorSmLoad01STATIC [STAT:04026EE8];Dungeons\Nordic\Doors\Animated\SmDoor01\NorDoorSmLoad01.nif
33715504;DLC2SkaalVilShack02 [STAT:04027530];DLC02\Architecture\SkaalVillage\DLC2SkaalVilShack02.nif
33716322;DLC2DweFloorRubbleFlat01 [STAT:04027862];DLC02\Dungeons\Dwemer\Rubble\DLC2DweFloorRubbleFlat01.nif
33716379;DLC2ThirskMeadHallExterior01_LOD [STAT:0402789B];DLC02\LOD\Thirsk\DLC2ThirskMeadHallExterior01_LOD.nif
33716380;DLC2ThirskMeadHallExterior01_LOD_2 [STAT:0402789C];DLC02\LOD\Thirsk\DLC2ThirskMeadHallExterior01_LOD_2.nif
33716381;ApoFigure01 [STAT:0402789D];DLC02\Dungeons\Apocrypha\Clutter\ApoFigure01.nif
33716384;ApoMouthSconce01 [STAT:040278A0];DLC02\Dungeons\Apocrypha\Clutter\ApoMouthSconce01.nif
33716385;ApoHeadScone01 [STAT:040278A1];DLC02\Dungeons\Apocrypha\Clutter\ApoHeadScone01.nif
33716387;ApoBookStand01 [STAT:040278A3];DLC02\Dungeons\Apocrypha\Clutter\ApoBookStand01.nif
33716395;ApoHMShrine01 [STAT:040278AB];DLC02\Dungeons\Apocrypha\Clutter\ApoHMShrine01.nif
33716717;DLC2DweReadRmPipeGrp01 [STAT:040279ED];DLC02\Dungeons\Dwemer\ReadingRoom\DLC2DweReadRmPipeGrp01.nif
33716719;DLC2DweReadRmPipeGrp02 [STAT:040279EF];DLC02\Dungeons\Dwemer\ReadingRoom\DLC2DweReadRmPipeGrp02.nif
33716723;DLC2DweReadRmPipeGrp03 [STAT:040279F3];DLC02\Dungeons\Dwemer\ReadingRoom\DLC2DweReadRmPipeGrp03.nif
33716779;NorRubblePile02_DLC2Ash [STAT:04027A2B];Dungeons\Nordic\Rubble\NorRubblePile02.nif
33716780;NorRubblePile01_DLC2Ash [STAT:04027A2C];Dungeons\Nordic\Rubble\NorRubblePile01.nif
33716781;NorRubblePile03_DLC2Ash [STAT:04027A2D];Dungeons\Nordic\Rubble\NorRubblePile03.nif
33716782;NorRubblePile04_DLC2Ash [STAT:04027A2E];Dungeons\Nordic\Rubble\NorRubblePile04.nif
33716783;NorRubblePile05_DLC2Ash [STAT:04027A2F];Dungeons\Nordic\Rubble\NorRubblePile05.nif
33716784;NorRubblePile06_DLC2Ash [STAT:04027A30];Dungeons\Nordic\Rubble\NorRubblePile06.nif
33716785;NorRubblePile07_DLC2Ash [STAT:04027A31];Dungeons\Nordic\Rubble\NorRubblePile07.nif
33716786;NorRubblePile08_DLC2Ash [STAT:04027A32];Dungeons\Nordic\Rubble\NorRubblePile08.nif
33716787;NorRubblePiece01_Ash [STAT:04027A33];Dungeons\Nordic\Rubble\NorRubblePiece01.nif
33716788;NorRubblePiece02_Ash [STAT:04027A34];Dungeons\Nordic\Rubble\NorRubblePiece02.nif
33716789;NorRubblePiece03_Ash [STAT:04027A35];Dungeons\Nordic\Rubble\NorRubblePiece03.nif
33716790;NorRubblePiece04_Ash [STAT:04027A36];Dungeons\Nordic\Rubble\NorRubblePiece04.nif
33716791;NorRubblePiece05_Ash [STAT:04027A37];Dungeons\Nordic\Rubble\NorRubblePiece05.nif
33717104;DLC2NorTmpExtPlatWall02_LightSN [STAT:04027B70];Dungeons\Nordic\Exterior\NorTmpExtPlatWall02.nif
33717184;DLC2NorPitWallSideEnclosure01_SnowLT [STAT:04027BC0];Dungeons\Nordic\Pits\NorPitWallSideEnclosure01.nif
33717193;DLC2NorPitWallFrontEnclosure02_SnowLT [STAT:04027BC9];Dungeons\Nordic\Pits\NorPitWallFrontEnclosure02.nif
33717241;DLC2MAGInvAsh [STAT:04027BF9];DLC02\Effects\INVAsh.nif
33717297;DLC2MAGINVWhirlwindSpellArt [STAT:04027C31];DLC02\Effects\DLC2MAGINVWhirlWind.nif
33717298;MAGINVWhirWindCloakSpellArt [STAT:04027C32];Magic\MAGINVIceSpellArt.nif
33717855;ApoControlRingArchPart01 [STAT:04027E5F];DLC02\Dungeons\Apocrypha\Exterior\ControlRing\ApoControlRingArchPart01.nif
33717897;ApoApoControlRingStones01 [STAT:04027E89];DLC02\Dungeons\Apocrypha\Exterior\ApoApoControlRingStones01.nif
33717901;spidersackdead [STAT:04027E8D];actors\DLC02\Spider_poison\CharacterAssets\spidersackdead.nif
33718262;NorRmBgWallFrontDamHole01 [STAT:04027FF6];DLC02\Dungeons\Nordic\NorRmBgWallFrontDamHole01.nif
33718774;DLC2SkaalVilGreyMane01 [STAT:040281F6];DLC02\Architecture\SkaalVillage\DLC2SkaalVilGreyMane01.nif
33719785;DLC2ExpSpiderEggSTATIC [STAT:040285E9];actors\DLC02\Spider_poison\CharacterAssets\spidersackdead.nif
33719875;DLC2SkaalVilHouseWind01 [STAT:04028643];DLC02\Architecture\SkaalVillage\DLC2SkaalVilHouseWind01.nif
33719882;DLC2CliffBasaltStraight_Ash [STAT:0402864A];DLC02\Landscape\VolcanicCliffs\DLC2CliffBasaltStraight.nif
33720973;Campfire01LandOffAsh [STAT:04028A8D];Clutter\WoodFires\Campfire01LandOff.nif
33721112;DLC2ExpSpiderSnotKitWall01 [STAT:04028B18];DLC02\Effects\DLC2ExpSpiderSnotKitWall01.nif
33721114;DLC2ExpSpiderSnotKitWall02 [STAT:04028B1A];DLC02\Effects\DLC2ExpSpiderSnotKitWall02.nif
33721118;DLC2ExpSpiderSnotKitCorner01 [STAT:04028B1E];DLC02\Effects\DLC2ExpSpiderSnotKitCorner01.nif
33721122;DLC2ExpSpiderSnotKitWall03 [STAT:04028B22];DLC02\Effects\DLC2ExpSpiderSnotKitWall03.nif
33721239;DLC2DweRubblePile02_Snow [STAT:04028B97];DLC02\Dungeons\Dwemer\Rubble\DLC2DweRubblePile02.nif
33721240;DLC2DweRubblePile03_Snow [STAT:04028B98];DLC02\Dungeons\Dwemer\Rubble\DLC2DweRubblePile03.nif
33721241;DLC2DweFloorRaised01_Snow [STAT:04028B99];DLC02\Dungeons\Dwemer\Rubble\DLC2DweFloorRaised01.nif
33721242;DLC2DweRubblePile01_Snow [STAT:04028B9A];DLC02\Dungeons\Dwemer\Rubble\DLC2DweRubblePile01.nif
33721247;DLC2DweHallBg4way01_Snow [STAT:04028B9F];DLC02\Dungeons\Dwemer\BgHalls\DLC2DweHallBg4way01.nif
33721248;DLC2dunFahlbtharzDweHallBg4way01_Snow [STAT:04028BA0];Dungeons\Dwemer\BgHalls\DweHallBg4way01.nif
33721249;DLC2dunFahlbtharzDweHallBg3way01_Snow [STAT:04028BA1];Dungeons\Dwemer\BgHalls\DweHallBg3way01.nif
33721250;DLC2dunFahlbtharzDweHallBg2way01_Snow [STAT:04028BA2];Dungeons\Dwemer\BgHalls\DweHallBg2way01.nif
33721255;DLC2dunFahlbtharzDweHallBgEndCapExBg01_Snow [STAT:04028BA7];Dungeons\Dwemer\BgHalls\DweHallBgEndCapExBg01.nif
33723181;DLC2ExpSpiderAlbinoEggs01 [STAT:0402932D];Actors\DLC02\Spider_poison\CharacterAssets\ExpSpiderEggsAlbino01.nif
33723182;DLC2ExpSpiderAlbinoEggs02 [STAT:0402932E];Actors\DLC02\Spider_poison\CharacterAssets\ExpSpiderEggsAlbino.nif
33723473;DLC2SkaalVilHouseWind04 [STAT:04029451];DLC02\Architecture\SkaalVillage\DLC2SkaalVilHouseWind04.nif
33723474;DLC2SkaalVilFishHut01 [STAT:04029452];DLC02\Architecture\SkaalVillage\DLC2SkaalVilFishHut01.nif
33723758;DLC2MountainCliff02_Ash [STAT:0402956E];Landscape\Mountains\MountainCliff02.nif
33723778;DLC2BasaltRubblePileFlat01CoastBeach [STAT:04029582];DLC02\Landscape\VolcanicCliffs\DLC2BasaltRubblePileFlat01.nif
33723779;DLC2BasaltSlab01CoastBeach [STAT:04029583];DLC02\Landscape\VolcanicCliffs\DLC2BasaltSlab01.nif
33723780;DLC2CliffBasaltMoundCoastBeach [STAT:04029584];DLC02\Landscape\VolcanicCliffs\DLC2CliffBasaltMound.nif
33723781;DLC2CliffBasaltStraightCoastBeach [STAT:04029585];DLC02\Landscape\VolcanicCliffs\DLC2CliffBasaltStraight.nif
33723789;DLC2BasaltRubblePile01CoastBeach [STAT:0402958D];DLC02\Landscape\VolcanicCliffs\DLC2BasaltRubblePile01.nif
33724165;DLC2SkaalVilShack02alt [STAT:04029705];DLC02\Architecture\SkaalVillage\DLC2SkaalVilShack02alt.nif
33724166;DLC2SkaalVilGreathall01 [STAT:04029706];DLC02\Architecture\SkaalVillage\DLC2SkaalVilGreathall01.nif
33724315;CrateSmallLong03WeatheredLightSN [STAT:0402979B];Clutter\Common\CrateSmallLong03.nif
33724640;DLC2dunFahlbtharzDweRubblePileCeiling01_Snow [STAT:040298E0];Dungeons\Dwemer\Rubble\DweRubblePileCeiling01.nif
33724661;DLC2RieklingStand02Snow [STAT:040298F5];DLC02\Architecture\Riekling\DLC2RieklingStand02.nif
33724662;DLC2RieklingStand01Snow [STAT:040298F6];DLC02\Architecture\Riekling\DLC2RieklingStand01.nif
33724663;DLC2RieklingBridgeStart01Snow [STAT:040298F7];DLC02\Architecture\Riekling\DLC2RieklingBridgeStart01.nif
33724664;DLC2RieklingBridgePlatformSmallSnow [STAT:040298F8];DLC02\Architecture\Riekling\DLC2RieklingBridgePlatformSmall.nif
33724899;MountainCliffSlopeVolcanicAsh01 [STAT:040299E3];Landscape\Mountains\MountainCliffSlope.nif
33725734;MQ03SkaalVillageBarrier01 [STAT:04029D26];DLC02\Effects\MQ03SkaalVilliageBarrier.nif
33725751;RockShelf01VolcanicTundra02 [STAT:04029D37];Landscape\Rocks\RockShelf01.nif
33726150;DLC2GlacierEndLg01_NoSN [STAT:04029EC6];DLC02\Landscape\Glaciers\DLC2GlacierEndLg01.nif
33726151;DLC2GlacierSlab01_NoSN [STAT:04029EC7];DLC02\Landscape\Glaciers\DLC2GlacierSlab01.nif
33726152;DLC2GlacierStraightLg01_NoSN [STAT:04029EC8];DLC02\Landscape\Glaciers\DLC2GlacierStraightLg01.nif
33726154;DLC2dunKarstaagIceWraithSummonPoint1 [STAT:04029ECA];MarkerX.nif
33726155;DLC2dunKarstaagIceWraithSummonPoint2 [STAT:04029ECB];MarkerX.nif
33726156;DLC2dunKarstaagIceWraithSummonPoint3 [STAT:04029ECC];MarkerX.nif
33726243;DLC2RockPileS02VolcanicAsh01_Ash [STAT:04029F23];Landscape\Rocks\RockPileS02.nif
33726244;DLC2RockPileS01VolcanicAsh01_Ash [STAT:04029F24];Landscape\Rocks\RockPileS01.nif
33726245;DLC2RockPileS03VolcanicAsh01_Ash [STAT:04029F25];Landscape\Rocks\RockPileS03.nif
33726248;DLC2RockPileS04VolcanicAsh01_Ash [STAT:04029F28];Landscape\Rocks\RockPileS04.nif
33726251;DLC2RockPileS04VolcanicAshRocks01_Ash [STAT:04029F2B];Landscape\Rocks\RockPileS04.nif
33727650;RRBuildingInt01 [STAT:0402A4A2];DLC02\Architecture\RavenRock\RRBuildingInt01.nif
33728336;ApoParWallSolid01 [STAT:0402A750];DLC02\Dungeons\Apocrypha\Partitions\ApoParWallSolid01.nif
33728337;ApoParWallSolid02 [STAT:0402A751];DLC02\Dungeons\Apocrypha\Partitions\ApoParWallSolid02.nif
33728338;ApoParWallWin01 [STAT:0402A752];DLC02\Dungeons\Apocrypha\Partitions\ApoParWallWin01.nif
33728339;ApoPlatFree01 [STAT:0402A753];DLC02\Dungeons\Apocrypha\Platform\ApoPlatFree01.nif
33728736;DLC2SkaalVilTotemArch01 [STAT:0402A8E0];DLC02\Architecture\SkaalVillage\DLC2SkaalVilTotemArch01.nif
33728788;DLC2ApoShaft [STAT:0402A914];Dungeons\Dwemer\LgRooms\DweShaftMid01.nif
33729207;DLC2MapSolstheim01 [STAT:0402AAB7];DLC02\Clutter\DLC2MapSolstheim01.nif
33729860;DLC2ImpExtTower01Dark_Ash [STAT:0402AD44];Dungeons\Imperial\Exterior\ImpExtTower01Dark.nif
33729861;DLC2ImpStableSingle01_AshLight [STAT:0402AD45];Dungeons\Imperial\StableKit\ImpStableSingle01.nif
33729863;DLC2ImpExtTowerShellStairs01_Ash [STAT:0402AD47];Dungeons\Imperial\Exterior\ImpExtTowerShellStairs01.nif
33729864;DLC2ImpExtRubble02_Ash [STAT:0402AD48];Dungeons\Imperial\Exterior\ImpExtRubble02.nif
33729890;DLC2ImpExtRubble04_Ash [STAT:0402AD62];Dungeons\Imperial\Exterior\ImpExtRubble04.nif
33729891;DLC2ImpExtRubble01_Ash [STAT:0402AD63];Dungeons\Imperial\Exterior\ImpExtRubble01.nif
33729892;DLC2ImpExtRubble03_Ash [STAT:0402AD64];Dungeons\Imperial\Exterior\ImpExtRubble03.nif
33729893;DLC2ArcheryTarget_Ash [STAT:0402AD65];Clutter\Common\ArcheryTarget01.nif
33731139;DLC2RieklingThrone [STAT:0402B243];DLC02\Clutter\Riekling\DLC2RieklingThrone.nif
33731142;DLC2SkaalVilFarmWell01 [STAT:0402B246];DLC02\Architecture\SkaalVillage\DLC2SkaalVilFarmWell01.nif
33732089;DLC2RieklingCandle [STAT:0402B5F9];DLC02\Clutter\Riekling\DLC2RieklingCandle.nif
33732271;DLC2RuinsFloorCandleLampSmallOff02Snow [STAT:0402B6AF];Clutter\Ruins\RuinsFloorCandleLampSmOff.nif
33732272;DLC2RuinsFloorCandleLampSmallOffSnow [STAT:0402B6B0];Clutter\Ruins\RuinsFloorCandleLampSmOff02.nif
33732273;DLC2RuinsFloorCandleLampMidOff02Snow [STAT:0402B6B1];Clutter\Ruins\RuinsFloorCandleLampMidOff02.nif
33732344;DLC2ShipLongBoat01NoLOD [STAT:0402B6F8];Dungeons\Ship\ShipLongBoat01.nif
33732654;DLC2RockPileL02VolcanicAsh01 [STAT:0402B82E];Landscape\Rocks\RockPileL02.nif
33732802;DLC2BasaltRubblePile02CoastBeach01_Ash [STAT:0402B8C2];DLC02\Landscape\VolcanicCliffs\DLC2BasaltRubblePile02.nif
33734035;NorExtRubblePiece01_HeavySN [STAT:0402BD93];Dungeons\Nordic\Rubble\NorRubblePiece01.nif
33734036;NorExtRubblePiece02_HeavySN [STAT:0402BD94];Dungeons\Nordic\Rubble\NorRubblePiece02.nif
33734037;NorExtRubblePiece05_HeavySN [STAT:0402BD95];Dungeons\Nordic\Rubble\NorRubblePiece05.nif
33734038;NorExtRubblePiece04_HeavySN [STAT:0402BD96];Dungeons\Nordic\Rubble\NorRubblePiece04.nif
33734042;NorRmShaftBeam01sn_Heavy [STAT:0402BD9A];Dungeons\Nordic\Shafts\NorRmShaftBeam01.nif
33734428;DLC2NchardakConsole01 [STAT:0402BF1C];DLC02\Dungeons\Dwemer\Clutter\DLC2NchardakConsole.nif
33734681;1stPersonDLC2DwarvenBowKarztev01 [STAT:0402C019];DLC02\Weapons\Dwarven\DwarvenBowKarztev01.nif
33734831;RockCliff08Rocks01_VolcanicAshTundra [STAT:0402C0AF];Landscape\Rocks\RockCliff08.nif
33734833;Campfire01LandOffDirtPath01 [STAT:0402C0B1];Clutter\WoodFires\Campfire01LandOff.nif
33734867;RockPileL03VolcanicAshTundra02 [STAT:0402C0D3];Landscape\Rocks\RockPileL03.nif
33734948;DLC2NorSec1wayRamp384ice [STAT:0402C124];Dungeons\Nordic\SecretPass\NorSec1wayRamp384.nif
33735132;DLC2RRBuilding02 [STAT:0402C1DC];DLC02\Architecture\RavenRock\DLC2RRBuilding02.nif
33735136;DLC2RRBuilding01 [STAT:0402C1E0];DLC02\Architecture\RavenRock\DLC2RRBuilding01.nif
33735674;DLC2ImperialTentSmallASH [STAT:0402C3FA];Architecture\Tents\SmallImperialTent.nif
33735676;DLC2NorTentSmallASH [STAT:0402C3FC];Architecture\Tents\SmallNordicTent01.nif
33735681;FirewoodPileLarge01ASH [STAT:0402C401];Clutter\Firewood\FirewoodPileLarge01.nif
33735702;DLC2ApocTenticlePatchFar01 [STAT:0402C416];DLC02\Dungeons\Apocrypha\Clutter\DLC2ApocTenticlePatchFar01.nif
33736074;DLC2RieklingHorse [STAT:0402C58A];DLC02\Clutter\Riekling\DLC2RieklingHorse.nif
33754291;1stPersonAshmanWarAxe [STAT:04030CB3];DLC02\Weapons\Ashman\AshmanWaraxe1.nif
33754386;DLC2CaveIBalconyStraight01_ice [STAT:04030D12];Dungeons\Caves\Ice\Balcony\CaveIBalconyStraight01.nif
33754387;DLC2CaveIFBalconyCorner01_ice [STAT:04030D13];Dungeons\Caves\Ice\FrozenBalcony\CaveIFBalconyCorner01.nif
33754388;DLC2CaveIBalconyRamp01_ice [STAT:04030D14];Dungeons\Caves\Ice\Balcony\CaveIBalconyRamp01.nif
33754518;DLC2CaveIRoomDoor04_ice [STAT:04030D96];Dungeons\Caves\Ice\SmallRoom\CaveIRoomDoor04.nif
33754732;DLC2CaveIFBalconyShelf02_ice [STAT:04030E6C];Dungeons\Caves\Ice\FrozenBalcony\CaveIFBalconyShelf02.nif
33754772;DLC2TelvanniGourdHouseExt01 [STAT:04030E94];DLC02\Architecture\TelvanniTower\DLC2TelvanniGourdHouseExt01.nif
33754773;DLC2TelvanniGourdHouseExt02 [STAT:04030E95];DLC02\Architecture\TelvanniTower\DLC2TelvanniGourdHouseExt02.nif
33754774;DLC2TelvanniGourdHouseInt01 [STAT:04030E96];DLC02\Architecture\TelvanniTower\DLC2TelvanniGourdHouseInt01.nif
33754775;DLC2TelvanniGourdHouseInt02 [STAT:04030E97];DLC02\Architecture\TelvanniTower\DLC2TelvanniGourdHouseInt02.nif
33754776;DLC2TelvanniGourdHouseRamp01 [STAT:04030E98];DLC02\Architecture\TelvanniTower\DLC2TelvanniGourdHouseRamp01.nif
33754777;DLC2TelvanniRoot01 [STAT:04030E99];DLC02\Architecture\TelvanniTower\DLC2TelvanniRoot01.nif
33754778;DLC2TelvanniRoot02 [STAT:04030E9A];DLC02\Architecture\TelvanniTower\DLC2TelvanniRoot02.nif
33754779;DLC2TelvanniRootBridge01 [STAT:04030E9B];DLC02\Architecture\TelvanniTower\DLC2TelvanniRootBridge01.nif
33754780;DLC2TelvanniTowerMain01 [STAT:04030E9C];DLC02\Architecture\TelvanniTower\DLC2TelvanniTowerMain01.nif
33754781;DLC2TelvanniTowerMainInt01 [STAT:04030E9D];DLC02\Architecture\TelvanniTower\DLC2TelvanniTowerMainInt01.nif
33755284;DLC2SkaalVilCastleIntRoofBump01 [STAT:04031094];DLC02\Architecture\SkaalVillage\DLC2SkaalVilCastleIntRoofBump01.nif
33755287;DLC2SkaalVilCastleRoofBaseStr01 [STAT:04031097];DLC02\Architecture\SkaalVillage\DLC2SkaalVilCastleRoofBaseStr01.nif
33755288;DLC2SkaalVilCastleFreePillar01 [STAT:04031098];DLC02\Architecture\SkaalVillage\DLC2SkaalVilCastleFreePillar01.nif
33755289;DLC2SkaalVilPlatform01 [STAT:04031099];DLC02\Architecture\SkaalVillage\DLC2SkaalVilPlatform01.nif
33755290;DLC2SkaalVilCastleIntDoorway01 [STAT:0403109A];DLC02\Architecture\SkaalVillage\DLC2SkaalVilCastleIntDoorway01.nif
33757138;1stPersonAshmanBattleAxe [STAT:040317D2];DLC02\Weapons\Ashman\AshmanBattleaxe1.nif
33757788;ApoRoundChamber01 [STAT:04031A5C];DLC02\Dungeons\Apocrypha\Custom\ApoRoundChamber01.nif
